Variable,Outcome Class,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
BMI,0.0,"375,109",28.58,6.47,27.44,28.55,28.6,12.0,76.86,1.27,3.22
BMI,1.0,"23,546",28.28,7.05,27.12,28.19,28.37,12.4,75.58,1.21,2.54
Number_of_Children,0.0,"397,669",0.47,1.11,0.0,0.46,0.47,0.0,83.0,16.79,1056.8
Number_of_Children,1.0,"24,380",0.7,1.17,0.0,0.68,0.71,0.0,22.0,2.83,20.07
Marijuana_Use_30_Days,0.0,"128,346",2.0,6.79,0.0,1.97,2.04,0.0,30.0,3.54,11.12
Marijuana_Use_30_Days,1.0,"7,038",8.75,12.41,0.0,8.46,9.04,0.0,30.0,0.94,-0.93
Number_of_Days_Last_Month_Poor_Health,0.0,"226,899",5.33,9.06,0.0,5.3,5.37,0.0,30.0,1.82,2.02
Number_of_Days_Last_Month_Poor_Health,1.0,"18,452",6.78,9.43,2.0,6.64,6.92,0.0,30.0,1.42,0.77
Total_Drinks_30_days,0.0,"192,597",15.5,39.18,5.0,15.32,15.67,0.0,2280.0,15.76,534.51
Total_Drinks_30_days,1.0,"14,504",28.11,77.67,9.0,26.85,29.38,0.0,2280.0,14.16,314.61
Sugar_Soda_Drinks_Per_Day,0.0,"13,945",2.37,6.65,1.0,2.26,2.48,1.0,99.0,12.57,174.15
Sugar_Soda_Drinks_Per_Day,1.0,"1,583",2.9,7.28,2.0,2.54,3.26,1.0,99.0,10.71,132.18
Non_Soda_Sugar_Drinks_Per_Day,0.0,"10,894",2.31,6.57,1.0,2.19,2.44,1.0,99.0,12.6,176.5
Non_Soda_Sugar_Drinks_Per_Day,1.0,"1,265",2.89,7.69,2.0,2.46,3.31,1.0,99.0,9.99,115.8
