Variable,Unknown Count,Unknown Percent
Dentist_Visit_Last_Year,0,0.0
Health_Insurance,0,0.0
Medical_Visit_Missed_Due_to_Cost,0,0.0
Age_Category,"8,310",1.82
E_Cig_User,0,0.0
Other_Tobacco_Usage,"30,657",6.7
Sex,0,0.0
Race,"9,103",1.99
Time_Since_Last_Check_Up,"5,334",1.17
Exercise_Outside_Work_Past_Month,0,0.0
Loneliness,"255,537",55.83
Health_Rating,"1,310",0.29
Prediabetic_Diagnosis,"299,317",65.4
Annual_Income,"87,423",19.1
Days_Poor_Physical_Health,"11,067",2.42
Education,"2,363",0.52
Social_Emotional_Support,"257,046",56.16
General_Health_Personal_Rating,"1,310",0.29
Life_Satisfaction,"255,712",55.87
Marital_Status,"4,222",0.92
