Variable,Missing Count,Missing Percent
Average_Number_of_Drinks_30_Days,"249,957",54.62
BMI,"43,037",9.4
Number_of_Children,"9,379",2.05
Marijuana_Use_30_Days,"321,789",70.31
Poor_Mental_Health_Days_Last_Month,"8,156",1.78
Poor_Physical_Health_Days_Last_Month,"11,067",2.42
Sugar_Soda_Drinks_Per_Day,"442,068",96.59
Sugar_Soda_Drinks_Per_Week,"420,327",91.84
Sugar_Soda_Drinks_Per_Month,"396,514",86.64
Non_Soda_Sugar_Drinks_Per_Day,"445,447",97.33
Non_Soda_Sugar_Drinks_Per_Week,"426,734",93.24
Non_Soda_Sugar_Drinks_Per_Month,"408,213",89.19
